epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
52,2020-12-20,279,AC,,12,state,39996,4471.47473,127,765,7,0.0191,894470,True,False
52,2020-12-20,288,AL,,27,state,101285,3022.04089,307,2410,6,0.0238,3351543,True,False
52,2020-12-20,283,AM,,13,state,191976,4562.47739,302,5085,9,0.0265,4207714,True,False
52,2020-12-20,276,AP,,16,state,65215,7567.53809,106,875,0,0.0134,861773,True,False
52,2020-12-20,290,BA,,29,state,469660,3145.61324,1657,8807,30,0.0188,14930634,True,False
52,2020-12-20,280,CE,,23,state,323941,3526.0408,435,9916,4,0.0306,9187103,True,False
52,2020-12-20,289,DF,,53,state,244243,7994.47097,409,4145,7,0.017,3055149,True,False
52,2020-12-20,291,ES,,32,state,228741,5628.39747,1496,4759,12,0.0208,4064052,True,False
52,2020-12-20,284,GO,,52,state,300284,4221.30191,0,6663,0,0.0222,7113540,False,True
52,2020-12-20,276,MA,,21,state,199105,2798.54182,11,4426,6,0.0222,7114598,True,False
52,2020-12-20,288,MG,,31,state,497672,2337.29304,3485,11225,132,0.0226,21292666,True,False
52,2020-12-20,282,MS,,50,state,121461,4323.38789,0,2051,0,0.0169,2809394,False,True
52,2020-12-20,276,MT,,51,state,172251,4884.86254,292,4331,11,0.0251,3526220,True,False
52,2020-12-20,278,PA,,15,state,286616,3297.94511,486,7063,6,0.0246,8690745,True,False
52,2020-12-20,284,PB,,25,state,159436,3947.14203,327,3539,10,0.0222,4039277,True,False
52,2020-12-20,284,PE,,26,state,207426,2156.95305,418,9435,17,0.0455,9616621,True,False
52,2020-12-20,277,PI,,22,state,138152,4210.05156,208,2769,4,0.02,3281480,True,False
52,2020-12-20,284,PR,,41,state,376009,3264.86258,1660,7312,41,0.0194,11516840,True,False
52,2020-12-20,291,RJ,,33,state,406820,2342.59802,3160,24473,19,0.0602,17366189,True,False
52,2020-12-20,284,RN,,24,state,108934,3082.31223,0,2878,0,0.0264,3534165,False,True
52,2020-12-20,276,RO,,11,state,89047,4956.80394,225,1698,1,0.0191,1796460,True,False
52,2020-12-20,275,RR,,14,state,67531,10699.14969,102,772,0,0.0114,631181,True,False
52,2020-12-20,286,RS,,43,state,407755,3569.60487,2157,8087,15,0.0198,11422973,True,False
52,2020-12-20,284,SC,,42,state,461244,6359.79142,3909,4706,38,0.0102,7252502,True,False
52,2020-12-20,282,SE,,28,state,103955,4483.0953,913,2407,6,0.0232,2318822,True,False
52,2020-12-20,300,SP,,35,state,1384100,2990.10573,0,45029,0,0.0325,46289333,False,True
52,2020-12-20,278,TO,,17,state,87478,5500.903,0,1216,0,0.0139,1590248,False,True
